question_name,question_body,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Perimeter,A regular octagon has one side 2.5cm long. How long is the perimeter of this shape in mm,,,1,2,GFG1LC7TSQ1,GFG1LC7,GFG1TSQ
Perimeter,Find the perimeter of this compound shape room,,/quiz/questions/images_g1/GFG1LC7TSQ2.png,1,2,GFG1LC7TSQ2,GFG1LC7,GFG1TSQ
3D Shapes,Can you tell which 3-D shape the following net will make,,/quiz/questions/images_g1/GFG1LC8TDQ1.png,1,2,GFG1LC8TDQ1,GFG1LC8,GFG1TDQ
3D Shapes,How many vertices does a Triangular Prism have,,,1,2,GFG1LC8TDQ2,GFG1LC8,GFG1TDQ
3D Shapes,How many bricks can be seen in the plan view ,,/quiz/questions/images_g1/GFG1LC8TDQ3.png,1,2,GFG1LC8TDQ3,GFG1LC8,GFG1TDQ
3D Shapes,Can you tell which 3-D shape the following net will make,,/quiz/questions/images_g1/GFG1LC8TSQ1.png,1,2,GFG1LC8TSQ1,GFG1LC8,GFG1TSQ
3D Shapes,How many edges does a Cylinder have,,,1,2,GFG1LC8TSQ2,GFG1LC8,GFG1TSQ
3D Shapes,How many bricks can be seen in front elevation ,,/quiz/questions/images_g1/GFG1LC8TDQ3.png,1,2,GFG1LC8TSQ3,GFG1LC8,GFG1TSQ
Volumes,How many of these smaller boxes will fit into the larger box,,/quiz/questions/images_g1/GFG1LC9TDQ1.png,1,3,GFG1LC9TDQ1,GFG1LC9,GFG1TDQ
Volumes,Calculate the volume of the following triangular prism:,,/quiz/questions/images_g1/GFG1LC9TDQ2.png,1,3,GFG1LC9TDQ2,GFG1LC9,GFG1TDQ
Volumes,Calculate the volume of the following Cuboid to 2 decimal places:,,/quiz/questions/images_g1/GFG1LC9TSQ1.png,1,3,GFG1LC9TSQ1,GFG1LC9,GFG1TSQ
Volumes,Calculate the volume of the following triangular prism:,,/quiz/questions/images_g1/GFG1LC9TSQ2.png,1,3,GFG1LC9TSQ2,GFG1LC9,GFG1TSQ
Surface Area,Work out the surface area of the cuboid in m²:,,/quiz/questions/images_g1/GFG1LC10TDQ1.png,1,4,GFG1LC10TDQ1,GFG1LC10,GFG1TDQ
Surface Area,Calculate the Surface Area of a Cylinder in cm²,,/quiz/questions/images_g1/GFG1LC10TDQ2.png,1,4,GFG1LC10TDQ2,GFG1LC10,GFG1TDQ
Surface Area,Work out the surface area of the cuboid in cm²:,,/quiz/questions/images_g1/GFG1LC10TSQ1.png,1,4,GFG1LC10TSQ1,GFG1LC10,GFG1TSQ
Surface Area,Work out the surface area of a  cube with length= 4m in m²,,,1,3,GFG1LC10TSQ2,GFG1LC10,GFG1TSQ
