question_name,question_body,q_calculator,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Graphs of Quadratics,Complete the missing value in the table for the following equations: y = x² + 5x + 2,FALSE,,/quiz/questions/images_a2/GFA2LC4TDQ1.png,1,4,GFA2LC4TDQ1,GFA2LC4,GFA2TDQ
Graphs of Quadratics,Complete the missing value in the table for the following equations:  y = 2x² – 4x + 1,TRUE,,/quiz/questions/images_a2/GFA2LC4TDQ2.png,1,4,GFA2LC4TDQ2,GFA2LC4,GFA2TDQ
Graphs of Quadratics,Complete the missing value in the table for the following equations:   y = x² + 1,FALSE,,/quiz/questions/images_a2/GFA2LC4TSQ1.png,1,4,GFA2LC4TSQ1,GFA2LC4,GFA2TSQ
Graphs of Quadratics,Complete the missing value in the table for the following equations:    y = x² - 2x - 8,TRUE,,/quiz/questions/images_a2/GFA2LC4TSQ2.png,1,4,GFA2LC4TSQ2,GFA2LC4,GFA2TSQ
Solving Quadratic Equations,Solve the quadratic equation using factorization:     x²+10x+24=0,FALSE,,,1,5,GFA2LC5TDQ1,GFA2LC5,GFA2TDQ
Solving Quadratic Equations,Solve the equation: 9x²+15x+5=0;  Give your answer correct to 2 decimal places. ( Use The Quadratic Formula ),TRUE,,,1,5,GFA2LC5TDQ2,GFA2LC5,GFA2TDQ
Solving Quadratic Equations,Solve the quadratic equation using factorization :  x²−10x+25=0,FALSE,,,1,5,GFA2LC5TSQ1,GFA2LC5,GFA2TSQ
Solving Quadratic Equations,Solve the equation: 3x²+8x+2=0:  Give your answer correct to 2 decimal places. ( Use The Quadratic Formula ),TRUE,,,1,5,GFA2LC5TSQ2,GFA2LC5,GFA2TSQ
Real-life Graphs,Paul was travelling in his car to a meeting. This distance–time graph illustrates his journey. At what average speed was he travelling over the first hour,FALSE,,/quiz/questions/images_a2/GFA2LC6TDQ1.png,1,3,GFA2LC6TDQ1,GFA2LC6,GFA2TDQ
Real-life Graphs,"I lost my fuel bill, but while talking to my friends I found out that:  Bill, who had used 850 units, was charged £57.50. Wendy, who had used 320 units, was charged £31. Rhanni, who had used 540 units, was charged £42.  Plot the given information and draw a straight-line graph. Use a scale from 0 to 900 on the horizontal units axis, and from £0 to £60 on the vertical cost axis.  Use your graph to find what I will be charged for 700 units",FALSE,,,1,3,GFA2LC6TDQ2,GFA2LC6,GFA2TDQ
Real-life Graphs,Paul was travelling in his car to a meeting. This distance–time graph illustrates his journey. At what average speed was he travelling over the second hour,FALSE,,/quiz/questions/images_a2/GFA2LC6TDQ1.png,1,3,GFA2LC6TSQ1,GFA2LC6,GFA2TSQ
Real-life Graphs,Use the conversion table to draw a conversion graph between miles and kilometers.Use the conversion graph to convert 80 miles into km ,FALSE,,/quiz/questions/images_a2/GFA2LC6TSQ2.png,1,3,GFA2LC6TSQ2,GFA2LC6,GFA2TSQ
Cubic and Reciprocal Graphs,Complete the missing value in the table for the following equations:  y = x³ – x² - 4x + 4 ,TRUE,,/quiz/questions/images_a2/GFA2LC7TDQ1.png,1,5,GFA2LC7TDQ1,GFA2LC7,GFA2TDQ
Cubic and Reciprocal Graphs,Complete the missing value in the table for the following equations:    y=1/x,FALSE,,/quiz/questions/images_a2/GFA2LC7TDQ2.png,1,5,GFA2LC7TDQ2,GFA2LC7,GFA2TDQ
Cubic and Reciprocal Graphs,Complete the missing value in the table for the following equations:   y = 10 + 19x – 4x² – 4x³,TRUE,,/quiz/questions/images_a2/GFA2LC7TSQ1.png,1,5,GFA2LC7TSQ1,GFA2LC7,GFA2TSQ
Cubic and Reciprocal Graphs,Complete the missing value in the table for the following equations:  y=2/x,FALSE,fraction,/quiz/questions/images_a2/GFA2LC7TSQ2.png,1,5,GFA2LC7TSQ2,GFA2LC7,GFA2TSQ
